timestamp,open,high,low,close,volume,amount
2023-01-02,186.22099999999998,188.49289619999996,183.483,185.0,17000000,3145.0
2023-01-03,185.111,189.48425200000003,182.9266902,187.6825,12000000,2252.19
2023-01-04,186.85669700000003,188.57577861240006,179.9938836904,181.226222,17000000,3080.845774
2023-01-05,181.58867444400002,182.89611289999684,178.5264840972927,178.5621965366,1500000,267.8432948049
2023-01-06,177.74081043253162,181.39987125152035,177.0298471908015,178.4729154383317,31000000,5532.660378588283
2023-01-09,178.3122898144372,180.95131170369086,171.4327550238271,171.67309736013127,27500000,4721.01017740361
2023-01-10,171.14091075831487,176.1120486385722,170.25097802237164,174.36836498868533,9500000,1656.4994673925107
2023-01-11,173.70576520172833,184.3025492261667,171.51707256018656,182.9124148731309,46500000,8505.427291600587
2023-01-12,183.1867834954406,184.68891512010322,175.2791651911216,177.47991615139892,47500000,8430.29601719145
2023-01-13,178.20758380761967,186.86079459949727,177.4947534723892,185.37777242013618,10000000,1853.777724201362
2023-01-16,186.0822079553327,194.72996981206853,184.1841694341883,194.53543437769088,31500000,6127.866182897263
2023-01-17,193.56275720580243,195.65323498362508,182.6725001795744,185.56735085287931,20500000,3804.130692484026
2023-01-18,186.08693943526737,193.42864445477633,183.63059183472183,191.09725790829512,4500000,859.9376605873281
2023-01-19,191.88075666571913,195.56486719370096,180.78338728002987,181.61883391604368,21000000,3813.9955122369174
2023-01-20,181.7822908665681,190.96116143761787,180.9824487867552,189.9733002761817,21500000,4084.4259559379066
2023-01-23,190.65720415717595,192.14433034960194,180.48965075202645,183.7231786970953,41500000,7624.5119159294545
2023-01-24,183.59457247200734,184.91645339380582,174.69915179297715,175.85982664885964,38000000,6682.673412656666
2023-01-25,175.3850051169077,182.41745669037593,172.12284402173324,180.39701017640022,32000000,5772.704325644807
2023-01-26,180.28877197029436,181.98348642681515,173.80458183651382,174.0831148202262,39000000,6789.241477988822
2023-01-27,174.74463065654305,176.35228125858328,166.40265135425295,169.48732058897224,35000000,5932.056220614028
2023-01-30,169.5720642492667,172.38696051580453,162.874060929447,165.69080460777926,46000000,7621.777011957845
2023-01-31,166.48612046989658,170.15867703692462,166.2863371253327,167.28143633201395,24500000,4098.395190134342
2023-02-01,168.0174746518748,170.06728784262768,165.041149806596,167.18106747021474,18000000,3009.259214463865
2023-02-02,166.88014154876836,172.60602623719623,166.11249289764402,170.3909439656429,12500000,2129.886799570536
2023-02-03,171.1065859302986,173.02431555771864,168.84797899601864,172.0607752165062,49500000,8517.008373217057
2023-02-06,171.78547797615977,173.40026146913567,164.77004398825719,166.43438786692644,43000000,7156.678678277837
2023-02-07,166.16809284633936,173.01190150492945,165.004916196415,171.02797697205364,23000000,3933.6434703572336
