timestamp,open,high,low,close,volume,amount,timeframe,symbol,daily_return,price_change,price_range,ma_20,ma_50,ma_200,rsi
2025-02-17,8.2,8.75,8.17,8.75,1431182,1229617234.0,1d,601777.SH,,0.5500000000000007,0.5800000000000001,,,,
2025-02-18,8.81,8.81,7.88,7.88,1810711,1462810483.0,1d,601777.SH,-0.09942857142857142,-0.9300000000000006,0.9300000000000006,,,,
2025-02-19,7.78,8.67,7.74,8.67,1698920,1420243298.0,1d,601777.SH,0.10025380710659904,0.8899999999999997,0.9299999999999997,,,,
2025-02-20,8.68,8.97,8.63,8.71,1233037,1081221534.0,1d,601777.SH,0.0046136101499423265,0.030000000000001137,0.33999999999999986,,,,
2025-02-21,8.63,9.18,8.59,9.05,1256280,1112826701.0,1d,601777.SH,0.03903559127439715,0.41999999999999993,0.5899999999999999,,,,
2025-02-24,9.06,9.9,9.05,9.68,1543174,1470001527.0,1d,601777.SH,0.06961325966850818,0.6199999999999992,0.8499999999999996,,,,
2025-02-25,9.3,10.5,9.3,10.2,1541186,1551879538.0,1d,601777.SH,0.05371900826446274,0.8999999999999986,1.1999999999999993,,,,
2025-02-26,10.35,10.4,9.8,9.92,1336763,1334766028.0,1d,601777.SH,-0.027450980392156765,-0.4299999999999997,0.5999999999999996,,,,
2025-02-27,10.1,10.46,9.71,10.3,1422716,1427540044.0,1d,601777.SH,0.03830645161290325,0.20000000000000107,0.75,,,,
2025-02-28,10.23,10.4,9.48,9.57,1249390,1218213101.0,1d,601777.SH,-0.07087378640776698,-0.6600000000000001,0.9199999999999999,,,,
2025-03-03,9.73,10.11,9.1,9.16,1345078,1287247703.0,1d,601777.SH,-0.0428422152560084,-0.5700000000000003,1.0099999999999998,,,,
2025-03-04,9.17,9.4,8.96,9.19,829755,761667740.0,1d,601777.SH,0.0032751091703056012,0.019999999999999574,0.4399999999999995,,,,
2025-03-05,9.25,9.31,8.81,9.09,839590,754996409.0,1d,601777.SH,-0.01088139281828071,-0.16000000000000014,0.5,,,,
2025-03-06,9.16,9.34,9.07,9.2,695705,641453574.0,1d,601777.SH,0.012101210121012063,0.03999999999999915,0.2699999999999996,,,,54.302103250478005
2025-03-07,9.14,9.35,9.03,9.11,619490,569433862.0,1d,601777.SH,-0.009782608695652173,-0.030000000000001137,0.3200000000000003,,,,53.38345864661654
2025-03-10,9.11,9.13,8.85,9.08,500591,451419933.0,1d,601777.SH,-0.003293084522502654,-0.02999999999999936,0.28000000000000114,,,,63.39285714285715
2025-03-11,8.98,9.05,8.69,8.81,686339,605437588.0,1d,601777.SH,-0.029735682819383213,-0.16999999999999993,0.3600000000000012,,,,51.76767676767678
2025-03-12,8.89,9.19,8.83,9.01,756026,685375509.0,1d,601777.SH,0.022701475595913623,0.11999999999999922,0.35999999999999943,,,,53.640776699029125
2025-03-13,9.0,9.01,8.55,8.67,593063,517818818.0,1d,601777.SH,-0.037735849056603765,-0.33000000000000007,0.4599999999999991,,,,45.388349514563096
2025-03-14,8.64,8.9,8.56,8.84,439437,386851419.0,1d,601777.SH,0.019607843137254832,0.1999999999999993,0.33999999999999986,9.144499999999999,,,38.52459016393442
2025-03-17,8.85,9.0,8.75,8.9,392639,349446519.0,1d,601777.SH,0.006787330316742057,0.05000000000000071,0.25,9.152,,,29.6875
2025-03-18,8.86,8.93,8.71,8.75,367448,322850313.0,1d,601777.SH,-0.016853932584269704,-0.10999999999999943,0.21999999999999886,9.1955,,,30.944625407166114
2025-03-19,8.75,8.77,8.51,8.59,444521,381788448.0,1d,601777.SH,-0.01828571428571435,-0.16000000000000014,0.2599999999999998,9.1915,,,19.999999999999957
2025-03-20,8.51,9.07,8.41,8.78,786088,690021090.0,1d,601777.SH,0.02211874272409764,0.2699999999999996,0.6600000000000001,9.195,,,32.90043290043286
2025-03-21,8.7,8.81,8.25,8.47,663608,558756075.0,1d,601777.SH,-0.03530751708428237,-0.22999999999999865,0.5600000000000005,9.166,,,34.38914027149319
2025-03-24,8.33,8.39,8.05,8.21,473325,388929386.0,1d,601777.SH,-0.030696576151121535,-0.11999999999999922,0.33999999999999986,9.0925,,,29.91803278688525
2025-03-25,8.23,8.27,8.06,8.12,329973,268504188.0,1d,601777.SH,-0.010962241169305886,-0.11000000000000121,0.20999999999999908,8.9885,,,30.041152263374457
2025-03-26,8.14,8.3,8.08,8.2,282677,232092629.0,1d,601777.SH,0.009852216748768461,0.05999999999999872,0.22000000000000064,8.9025,,,29.166666666666657
2025-03-27,8.15,8.33,8.09,8.19,236167,193988364.0,1d,601777.SH,-0.0012195121951219523,0.03999999999999915,0.2400000000000002,8.797,,,30.17241379310343
2025-03-28,8.26,8.46,8.17,8.22,453046,377322687.0,1d,601777.SH,0.003663003663003872,-0.03999999999999915,0.2900000000000009,8.7295,,,31.46551724137933
2025-03-31,8.2,8.39,8.11,8.25,359949,296400066.0,1d,601777.SH,0.0036496350364962904,0.05000000000000071,0.28000000000000114,8.684,,,36.538461538461526
2025-04-01,8.25,8.65,8.18,8.38,585115,492722534.0,1d,601777.SH,0.01575757575757586,0.13000000000000078,0.47000000000000064,8.6435,,,34.328358208955265
2025-04-02,8.39,8.59,8.28,8.57,457921,387500827.0,1d,601777.SH,0.022673031026252843,0.17999999999999972,0.3100000000000005,8.6175,,,47.31182795698926
2025-04-03,8.44,8.53,8.25,8.33,443101,371523577.0,1d,601777.SH,-0.028004667444574083,-0.10999999999999943,0.27999999999999936,8.574,,,36.78756476683939
2025-04-07,7.51,7.98,7.5,7.5,616893,470778938.0,1d,601777.SH,-0.09963985594237701,-0.009999999999999787,0.4800000000000004,8.493500000000001,,,24.074074074074076
2025-04-08,7.51,7.65,7.15,7.39,760656,558955090.0,1d,601777.SH,-0.014666666666666717,-0.1200000000000001,0.5,8.409,,,24.436090225563902
2025-04-09,7.2,7.55,6.65,7.46,764673,542602779.0,1d,601777.SH,0.009472259810554773,0.2599999999999998,0.8999999999999995,8.3415,,,28.015564202334645
2025-04-10,7.61,7.99,7.61,7.83,726752,568117865.0,1d,601777.SH,0.04959785522788196,0.21999999999999975,0.3799999999999999,8.2825,,,32.72727272727275
2025-04-11,7.69,8.23,7.65,8.13,650477,525481088.0,1d,601777.SH,0.03831417624521083,0.4400000000000004,0.5800000000000001,8.2555,,,43.79562043795621
2025-04-14,8.19,8.44,8.13,8.35,499804,413415262.0,1d,601777.SH,0.027060270602705883,0.16000000000000014,0.3099999999999987,8.230999999999998,,,52.592592592592574
2025-04-15,8.35,8.4,8.22,8.35,308862,256739488.0,1d,601777.SH,0.0,0.0,0.17999999999999972,8.203500000000002,,,54.406130268199234
2025-04-16,8.3,8.31,7.99,8.05,374421,303790534.0,1d,601777.SH,-0.03592814371257469,-0.25,0.3200000000000003,8.1685,,,47.34982332155479
