date,open,close,high,low,volume,macd_dif,macd_dea,macd_bar,kdj_k,kdj_d,kdj_j,rsi6,rsi12,rsi24,wr1,wr2,bias6,bias12,bias24,boll_upper,boll_mid,boll_lower,psy,psyma,cci,atr,bbi,dmi_pdi,dmi_mdi,dmi_adx,dmi_adxr,taq_up,taq_mid,taq_down,ktn_upper,ktn_mid,ktn_lower,trix,trma,vr,cr,dpo,madpo,brar_ar,brar_br,dfma,dfmama,mtm,mtmma,mass,ma_mass,roc,maroc,ema12,ema50,obv,mfi,asi,asit,ma5,ma10,ma20,ma30,ma60,ema26,slopec5,slope10
2025-08-15 00:26:26.536115,50.0,49.860663801250865,50.418747407592036,49.85694154088721,1921537,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.045450916576705,,,,,,,,,,,,,,,,,,49.860663801250865,49.860663801250865,0.0,,,,,,,,,49.860663801250865,,
2025-08-18 00:26:26.536115,50.674537211315915,50.86865271662352,51.00588443901934,50.34693827593967,7535613,0.08,0.016,0.129,,,,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,50.11164528742916,,0.00736135276828345,,,,,,,,,,,,,,,,50.015739019000506,49.9001927783243,753.5613,,,,,,,,,49.93532964683403,,
2025-08-19 00:26:26.536115,51.085637709477716,50.85909069094769,51.436471297870234,49.18071362440672,5312733,0.142,0.041,0.201,,,,99.811,99.914,99.959,,,,,,,,,,,,,,,,,,,,,,50.14787829539542,,0.0186153089690791,,,,,,,,,,,,,,,,50.1454854300693,49.93779661803502,222.288,,,,,,,,,50.00375639084245,,
2025-08-20 00:26:26.536115,51.96487373469193,51.79673611980702,52.58949319943774,51.61490051450345,6398485,0.263,0.086,0.355,,,,99.845,99.921,99.96,,,,,,,,,,,,,,,,,,,,,,50.324306706429134,,0.038283749592905036,,,,,,,,,,,,,,,,50.39952399772126,50.01069620633981,862.1365,,,,,,,,,50.13656970409908,,
2025-08-21 00:26:26.536115,53.070883057059376,53.46861046676434,53.7208327924624,52.94571704307597,1247109,0.488,0.166,0.644,,,,99.889,99.932,99.963,,,,,,,,,,,,,,,,,,,,,,50.61517147414391,,0.07384172151766932,,,,,,,,,,,,,,,,50.871691146804814,50.14630068714077,986.8474,,,,51.37075075907869,,,,,50.383387538370584,0.8143976734210403,
2025-08-22 00:26:26.536115,53.72522953842928,53.46056980246121,54.14950293530687,53.20896360503764,1193014,0.659,0.265,0.788,,,,99.727,99.858,99.928,,13.865,3.367,,,,,,,,,,,,,,,,,,,50.90004518590181,,0.11637167555159905,,,,,,,,,,,,,,,,51.26998017075195,50.27627202499648,867.546,,,,52.09073195932076,,,,,50.61132696534026,0.7793353947491986,
2025-08-25 00:26:26.536115,54.848381352402065,54.63605699077829,54.898083587418476,54.20654500486082,9285813,0.878,0.387,0.982,,,,99.787,99.873,99.932,,4.583,4.039,,,,,,,,,,,,,,,,,,,51.250538837500294,,0.1684593033727386,,,,,,,,,,,,,,,,51.787838143063695,50.447243984438906,1796.1273,,,,52.8442128141517,,,,,50.90945511537271,0.9217766282315375,
2025-08-26 00:26:26.536115,54.811284667984836,54.71550310800268,54.90313942765223,54.43240410629859,4396310,1.047,0.519,1.055,,,,99.791,99.874,99.932,,3.279,2.934,,,,,,,,,,,,,,,,,,,51.577504873355934,,0.22281355529767993,,,,,,,,,,,,,,,,52.23824813766969,50.6146266951669,2235.7583,,,,53.61549529756271,,,,,51.19138459630826,0.7004980500405216,
2025-08-27 00:26:26.536115,53.06039554583318,53.191559554389606,53.201970903357186,52.51464092405883,5000845,1.045,0.624,0.842,70.08995953618326,70.08995953618326,70.08995953618327,71.018,85.99,93.259,,52.052,-0.66,,,,,,,,,,,,,,,,,,,51.710065405474595,,0.26300572597702754,,,,,,,,,,,,,,,,52.38491143254968,50.715682885724654,1735.6738,,,,53.89445998447923,,,,,51.33954570431428,0.07008314807919674,
2025-08-28 00:26:26.536115,52.72938733026036,52.42664485431065,53.51691461339762,52.21026869633777,2064756,0.971,0.694,0.555,65.63430426934912,68.60474111390522,59.69343058023691,60.509,79.907,90.107,43.277,91.965,-2.28,,,,,,,,,,,,,,,,,,,51.80605372127213,,0.28546407625715964,,,,,,,,,,,,,,,,52.39133195897444,50.78277943351234,1529.1982,,,,53.68606686198849,52.528408810533584,,,,51.42007156727698,-0.3512347332689889,0.4069464325805235
